CONTAINER_ID,ALERT_TRIGGERED_TIME,SERVICED_TIME,PICK_UP_TIME_HRS,OVERFLOW
"""1142d300-7a82-11e9-b67b-7cd457bd1e7b""",2019-06-26T04:43:23Z,2019-06-26T11:20:32Z,6.62,1
"""434dafa0-938c-11e9-87e4-10be4198a6b6""",2019-06-26T00:03:52Z,2019-06-26T15:26:06Z,15.37,1
"""f7ad6f10-91fe-11e9-9bdb-42953e94a223""",2019-06-23T02:35:54Z,2019-06-25T09:49:54Z,55.23,1
"""62ca4c40-7ff9-11e9-9c09-efdeabe3c25e""",2019-06-20T01:33:54Z,2019-06-20T05:27:16Z,3.89,1
"""1a22ab30-7a9b-11e9-a81c-0b25e5fae254""",2019-06-22T22:12:40Z,2019-06-24T22:14:26Z,48.03,1
"""dc3c2be0-80ce-11e9-8b0e-ffd0c6e770f1""",2019-06-25T21:30:59Z,2019-06-26T14:12:46Z,16.70,1
"""14f63590-9211-11e9-8afd-4adbe234a465""",2019-06-24T19:10:45Z,2019-06-25T10:56:43Z,15.77,1
"""14f63590-9211-11e9-8afd-4adbe234a465""",2019-06-25T21:19:13Z,2019-06-26T08:37:37Z,11.31,1
"""8eb039b0-855c-11e9-9f0a-df0e5458b138""",2019-06-22T06:38:42Z,2019-06-22T12:45:35Z,6.11,1
"""436e0ca0-8559-11e9-af17-04b5e247ab68""",2019-06-23T22:48:54Z,2019-06-24T12:22:58Z,13.57,1
"""243ea400-80e2-11e9-8a77-5399f1ee26b6""",2019-06-22T20:56:55Z,2019-06-24T13:53:14Z,40.94,1
"""6530eac0-8585-11e9-a535-6496f592b7f9""",2019-06-22T15:37:05Z,2019-06-23T16:16:46Z,24.66,1
"""d64f5a70-7a5e-11e9-b13a-2f0046425c45""",2019-06-23T06:04:54Z,2019-06-23T13:45:13Z,7.67,1
"""2a03d4b0-80b9-11e9-a6dd-f08236c7ff9c""",2019-06-23T03:39:07Z,2019-06-23T13:04:28Z,9.42,1
"""f12cadf0-7a6a-11e9-9756-2bc53d31f00e""",2019-06-19T00:25:16Z,2019-06-19T15:59:50Z,15.58,1
"""d7c818f0-9071-11e9-9b23-f6e552c48e69""",2019-06-23T07:10:15Z,2019-06-23T21:02:18Z,13.87,1
"""f12cadf0-7a6a-11e9-9756-2bc53d31f00e""",2019-06-22T01:36:26Z,2019-06-23T23:50:38Z,46.24,1
"""5e36d2d0-91ff-11e9-a792-e6ebdfd8b62c""",2019-06-22T17:26:43Z,2019-06-22T23:33:12Z,6.11,0
"""77daacd0-80b0-11e9-b7d1-3cad36b1e2e0""",2019-06-18T21:07:50Z,2019-06-18T23:44:17Z,2.61,0
"""9edff360-7a9a-11e9-9a62-23d59b087472""",2019-06-18T20:40:00Z,2019-06-19T00:25:36Z,3.76,0
"""dbc87e90-914d-11e9-98f5-d7c87ab4d2c0""",2019-06-18T04:44:34Z,2019-06-21T13:46:05Z,81.03,0
"""fbb6baf0-7c08-11e9-87a5-7498ca5b04ce""",2019-06-19T22:43:00Z,2019-06-21T13:47:29Z,39.07,0
"""bba2fdf0-93ac-11e9-899f-18c97c201af5""",2019-06-23T05:06:12Z,2019-06-23T10:26:19Z,5.34,1
"""427e5b10-7feb-11e9-8abf-bf7153bfa1d0""",2019-06-21T22:40:10Z,2019-06-22T14:12:36Z,15.54,1
"""641d0b20-91f9-11e9-a305-302bd641332d""",2019-06-25T16:01:51Z,2019-06-26T12:32:30Z,20.51,1
"""46f2f2b0-9093-11e9-bcd6-c638bbf42ddf""",2019-06-22T18:53:33Z,2019-06-23T17:15:00Z,22.36,1
"""46f2f2b0-9093-11e9-bcd6-c638bbf42ddf""",2019-06-20T18:58:37Z,2019-06-21T11:28:35Z,16.50,1
"""dcf7f530-2e4c-11e8-a96a-45a6b3513213""",2019-06-23T19:52:11Z,2019-06-23T23:48:42Z,3.94,1
"""9fcb8a80-7a5b-11e9-bb54-85c062d839f2""",2019-06-20T03:09:00Z,2019-06-20T16:43:48Z,13.58,1
"""53adc3b0-86ff-11e9-adaf-39ef204384da""",2019-06-19T03:37:38Z,2019-06-23T12:43:28Z,105.10,1
"""f05b40a0-8701-11e9-b1dd-9636e6728dbb""",2019-06-24T22:04:49Z,2019-06-25T03:08:45Z,5.07,1
"""8c7d9e80-938f-11e9-bca6-821b4793e91b""",2019-06-21T08:27:36Z,2019-06-24T11:37:10Z,75.16,1
"""69483300-9202-11e9-ac50-af8089fca73e""",2019-06-24T03:36:02Z,2019-06-25T10:01:25Z,30.42,1
"""59eece10-80d6-11e9-8d3f-140b215abccc""",2019-06-25T10:47:41Z,2019-06-25T12:10:08Z,1.37,1
"""5517a8d0-7a5a-11e9-b8e9-7b1aac372de9""",2019-06-18T15:36:38Z,2019-06-18T17:03:03Z,1.44,0
"""a3a7d650-7a87-11e9-b80d-c38776225ad6""",2019-06-23T23:22:43Z,2019-06-24T11:53:06Z,12.51,0
"""31592070-8560-11e9-b202-8461e11e69f0""",2019-06-20T21:01:57Z,2019-06-22T13:15:25Z,40.22,0
"""138e2370-80e1-11e9-b07f-e83e113c3590""",2019-06-23T23:19:01Z,2019-06-24T13:53:49Z,14.58,0
"""a35a9c30-7bf1-11e9-8d24-db332de371e8""",2019-06-18T17:16:44Z,2019-06-19T00:27:48Z,7.18,0
"""da402e80-8002-11e9-ab9f-299e791305f4""",2019-06-21T04:08:56Z,2019-06-21T17:14:15Z,13.09,0
"""976a5910-8583-11e9-b8de-8653e4bae9f1""",2019-06-23T07:39:39Z,2019-06-23T15:44:58Z,8.09,0
"""dd7f13f0-8c86-11e9-b0a9-d32213c5bb31""",2019-06-19T18:57:54Z,2019-06-21T02:17:21Z,31.32,0
"""ceb24b80-913b-11e9-966b-831344b6f5ae""",2019-06-24T22:38:04Z,2019-06-26T13:26:15Z,38.80,0
"""67297080-80d1-11e9-97d5-068f7a33d386""",2019-06-26T17:32:23Z,2019-06-26T18:24:53Z,0.88,0
"""6e75e4d0-8587-11e9-88df-44b5129a797b""",2019-06-24T08:04:14Z,2019-06-25T12:51:06Z,28.78,0
"""243ea400-80e2-11e9-8a77-5399f1ee26b6""",2019-06-18T05:59:37Z,2019-06-18T13:52:07Z,7.88,0
"""1d105e60-938b-11e9-85eb-deafacefc6c0""",2019-06-21T22:19:10Z,2019-06-22T00:40:38Z,2.36,0
"""cad52000-80e2-11e9-af94-293e6aa1b4f9""",2019-06-25T18:57:42Z,2019-06-26T18:41:58Z,23.74,0
"""6366f750-9095-11e9-851a-e29d30b0619f""",2019-06-24T05:17:14Z,2019-06-24T11:06:54Z,5.83,0
"""2e168e20-8006-11e9-9290-d849824baa45""",2019-06-19T10:58:27Z,2019-06-19T16:13:27Z,5.25,0
"""cbebec00-8568-11e9-a4a8-86f0c55dba4d""",2019-06-24T19:45:44Z,2019-06-25T01:27:40Z,5.70,0
"""341b15c0-8493-11e9-b518-ddd19f40e8cc""",2019-06-19T21:44:34Z,2019-06-22T00:10:03Z,50.42,1
"""341b15c0-8493-11e9-b518-ddd19f40e8cc""",2019-06-24T01:01:07Z,2019-06-24T18:07:18Z,17.10,1
"""341b15c0-8493-11e9-b518-ddd19f40e8cc""",2019-06-25T20:45:21Z,2019-06-26T18:36:27Z,21.85,1
"""3444e050-7a8c-11e9-ad47-daa94facc1d3""",2019-06-23T03:39:08Z,2019-06-24T09:55:48Z,30.28,1
"""c9678e20-86f4-11e9-b87b-0b70a37735b9""",2019-06-24T06:23:34Z,2019-06-24T12:34:00Z,6.17,1
"""b087e960-7cb6-11e9-9e12-1c3a104f480f""",2019-06-22T01:39:13Z,2019-06-24T22:31:15Z,68.87,1
"""133c1c60-8582-11e9-b31b-a08d18293857""",2019-06-18T00:05:40Z,2019-06-19T21:45:59Z,45.67,1
"""bf0f3f10-7c0c-11e9-ad59-e3f978fb9e6f""",2019-06-23T17:23:06Z,2019-06-24T13:36:40Z,20.23,1
"""19c87970-84b0-11e9-a11d-5b59a7abe591""",2019-06-24T18:59:28Z,2019-06-25T19:13:10Z,24.23,1
"""aa1fd920-9200-11e9-b79d-e6424db4c55c""",2019-06-19T20:12:19Z,2019-06-20T13:06:11Z,16.90,0
"""02f77f10-8718-11e9-9ec7-50c0ec6423b5""",2019-06-22T02:56:17Z,2019-06-22T13:36:59Z,10.68,0
"""2ba298d0-8715-11e9-87da-d22a83f0e124""",2019-06-21T02:35:42Z,2019-06-22T13:56:19Z,35.34,0
